City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alugan,92,PH,1545560191,100,12.22,125.48,76.45,4.63
Oume,90,CI,1545555600,94,6.38,-5.42,75.2,4.7
Hobart,75,AU,1545557400,45,-42.88,147.33,68,8.05
Labuhan,56,ID,1545560197,58,-2.54,115.51,85.9,4.79
Jamestown,68,SH,1545560163,100,-15.94,-5.72,70.51,15.3
New Norfolk,75,AU,1545557400,45,-42.78,147.06,68,8.05
Nieuw Amsterdam,40,SR,1545559200,88,5.88,-55.08,77,11.39
Hvide Sande,75,DK,1545558600,100,56.01,8.13,42.8,3.36
Channel-Port aux Basques,20,CA,1545560208,89,47.57,-59.14,40.9,19.1
Khatanga,80,RU,1545560210,72,71.98,102.47,-10.63,23.09
Bethel,90,US,1545558960,86,60.79,-161.76,6.98,12.75
Hermanus,64,ZA,1545560216,64,-34.42,19.24,77.76,3.56
Haines Junction,64,CA,1545560218,80,60.75,-137.51,-1.22,2.28
Cabinda,32,AO,1545560227,99,-5.56,12.19,79.11,2.1
Ushuaia,20,AR,1545559200,57,-54.81,-68.31,48.2,13.8
Tiksi,0,RU,1545560231,0,71.64,128.87,-44.06,3.29
Mar del Plata,0,AR,1545560166,58,-46.43,-67.52,58.23,16.42
Severo-Kurilsk,0,RU,1545560235,100,50.68,156.12,22.72,4.85
Vaini,75,TO,1545559200,88,-21.2,-175.2,80.6,6.93
Bluff,0,NZ,1545560240,100,-46.6,168.33,58.23,8.14
Atbasar,76,KZ,1545560242,83,51.81,68.36,3.15,4.63
Usinsk,48,RU,1545560244,85,66,57.56,3.1,13.85
Kinkala,40,CG,1545555600,83,-4.35,14.75,77,3.36
Georgetown,92,SH,1545560248,100,-7.93,-14.42,76.09,15.93
Kahului,1,US,1545558960,78,20.89,-156.47,75.02,11.41
Yulara,0,AU,1545559200,6,-25.24,130.99,91.4,9.17
Dikson,88,RU,1545560255,99,73.51,80.55,20.43,27.89
Mahanoro,56,MG,1545560257,75,-19.9,48.8,82.75,3.33
Margate,92,ZA,1545560259,100,-30.86,30.37,72.4,21.23
Carson City,75,US,1545558900,73,39.16,-119.77,35.96,6.58
Vila Velha,92,BR,1545560263,100,-3.71,-38.6,76.45,12.91
Salalah,0,OM,1545558600,32,17.01,54.1,84.2,19.46
Bandarbeyla,0,SO,1545560267,99,9.49,50.81,78.75,24.09
Albany,75,AU,1545559200,68,-35.02,117.88,66.2,10.29
Longyearbyen,75,SJ,1545558600,56,78.22,15.64,12.2,17.22
Iqaluit,90,CA,1545555600,75,63.75,-68.52,-16.61,28.86
Nemuro,75,JP,1545555600,96,43.32,145.57,32,5.82
Lillooet,75,CA,1545555600,85,50.69,-121.94,23,13.87
Zhezkazgan,0,KZ,1545559200,50,47.8,67.71,8.6,2.24
Rikitea,64,PF,1545560285,100,-23.12,-134.97,78.03,14.97
Puerto Madero,5,MX,1545558060,100,14.72,-92.42,68,2.21
Hilo,90,US,1545558780,93,19.71,-155.08,69.98,15.97
Lagoa,0,PT,1545557400,76,37.14,-8.45,57.2,9.17
Thompson,90,CA,1545555600,70,55.74,-97.86,-4.01,5.82
Kodiak,1,US,1545558900,88,39.95,-94.76,33.08,8.05
Busselton,0,AU,1545560298,77,-33.64,115.35,75.1,21.07
Awbari,92,LY,1545560300,68,26.59,12.77,49.41,7.76
Taoudenni,0,ML,1545560304,37,22.68,-3.98,55.93,16.15
Barrow,75,US,1545558900,97,39.51,-90.4,30.92,5.08
Bilibino,24,RU,1545560310,0,68.06,166.44,-42.71,2.33
Kasane,40,BW,1545559200,40,-17.8,25.16,89.6,4.7
Chuy,88,UY,1545560315,94,-33.69,-53.46,65.47,5.79
Punta Arenas,0,CL,1545559200,57,-53.16,-70.91,48.2,19.46
Estreito,0,BR,1545559200,74,-22.44,-42.8,82.4,8.05
Neftegorsk,92,RU,1545560321,86,52.8,51.16,10.8,9.15
Kapaa,75,US,1545558960,84,22.08,-159.32,73.94,8.05
Qaanaaq,24,GL,1545560325,81,77.48,-69.36,-13.64,4.79
Faanui,68,PF,1545560327,98,-16.48,-151.75,84.06,15.64
Hasaki,75,JP,1545559200,100,35.73,140.83,50,9.17
Cape Town,75,ZA,1545559200,73,-33.93,18.42,75.2,14.99
Minggang,0,CN,1545560338,58,32.45,114.03,45.81,9.89
Saint-Philippe,75,RE,1545559200,62,-21.36,55.77,87.8,10.29
Port Alfred,0,ZA,1545560342,71,-33.59,26.89,79.69,13.47
Bend,1,US,1545558960,85,44.06,-121.32,37.4,8.05
Atkarsk,76,RU,1545560346,93,51.88,45.01,15.93,10.27
Platanos,40,GR,1545558600,72,35.47,23.6,62.6,17.22
Phan Thiet,56,VN,1545560202,100,10.93,108.1,76.27,4.74
Narsaq,92,GL,1545560353,95,60.91,-46.05,28.26,7.43
Hudiksvall,32,SE,1545560355,100,61.73,17.1,20.38,12.57
Stayner,90,CA,1545559200,86,44.42,-80.09,26.6,2.24
Umm Kaddadah,0,SD,1545560359,28,13.6,26.69,66.73,15.86
Honningsvag,68,NO,1545560363,100,70.98,25.97,25.56,13.18
Port Hardy,90,CA,1545556440,93,50.7,-127.42,42.8,19.46
Padang,20,ID,1545559200,74,-0.92,100.36,84.2,5.82
Mattru,0,SL,1545560372,61,7.62,-11.83,83.2,3.78
Yellowknife,90,CA,1545555600,84,62.45,-114.38,3.2,4.7
Tuatapere,0,NZ,1545560380,100,-46.13,167.69,53.5,7.02
Atuona,80,PF,1545560382,99,-9.8,-139.03,81.85,18.43
Tarauaca,32,BR,1545560385,97,-8.16,-70.77,72.45,2.55
Bredasdorp,12,ZA,1545559200,51,-34.53,20.04,84.2,10.29
Sault Sainte Marie,75,CA,1545559200,85,46.49,-84.36,14,5.82
Xining,0,CN,1545560378,32,36.62,101.77,29.83,2.33
Gazanjyk,56,TM,1545560393,100,39.24,55.52,33.66,4.07
Aswan,12,EG,1545560395,52,24.09,32.9,68.76,9.37
Castro,32,CL,1545559200,100,-42.48,-73.76,42.8,2.24
Saskylakh,56,RU,1545560404,46,71.97,114.09,-28.67,13.06
Totma,68,RU,1545560406,83,59.98,42.76,5.4,9.15
Samarai,76,PG,1545560408,100,-10.62,150.67,83.61,10.45
Sandwick,92,GB,1545555000,100,54.57,-2.89,39.2,2.24
Ketchikan,90,US,1545558960,92,55.34,-131.65,39.92,11.39
Norden,75,DE,1545558900,100,53.59,7.21,44.6,10.29
Esperance,56,AU,1545559200,77,-33.86,121.89,68,18.34
Mount Isa,0,AU,1545559200,9,-20.73,139.49,95,11.41
Tiznit,0,MA,1545560251,81,29.7,-9.73,54,6.58
Linjiang,0,CN,1545560427,66,41.81,126.91,1.3,4.07
Bundaberg,0,AU,1545559200,73,-24.87,152.35,71.6,14.99
Kruisfontein,0,ZA,1545560431,80,-34,24.73,73.71,3.78
Nome,90,US,1545560100,100,30.04,-94.42,62.6,7.92
Isverna,0,RO,1545560436,69,44.98,22.63,42.75,8.14
Kloulklubed,75,PW,1545558600,88,7.04,134.26,80.6,5.82
Port-Cartier,90,CA,1545555600,67,50.03,-66.88,21.2,16.11
Pevek,12,RU,1545560442,100,69.7,170.27,-32.45,6.35
Amalapuram,40,IN,1545559200,54,16.58,82,82.4,8.05
Talara,48,PE,1545560447,84,-4.58,-81.27,71.5,4.85
Tasiilaq,92,GL,1545558600,79,65.61,-37.64,26.6,8.05
Nanortalik,92,GL,1545560451,91,60.14,-45.24,35.01,18.61
Dutlwe,32,BW,1545560453,44,-23.98,23.93,88.69,10.94
Avarua,75,CK,1545555600,78,-21.21,-159.78,80.6,13.87
Ugoofaaru,36,MV,1545560458,100,5.67,73,82.71,5.41
Le Port,75,RE,1545559200,70,-20.94,55.29,87.8,9.17
Yizheng,0,CN,1545560462,60,24.67,103.43,58.54,6.24
Saint George,75,BM,1545558900,82,32.38,-64.68,66.2,5.82
Waingapu,80,ID,1545560466,81,-9.65,120.26,80.1,6.53
Ponta do Sol,92,CV,1545559200,78,17.2,-25.09,75.2,12.75
Luderitz,0,NA,1545560470,86,-26.65,15.16,65.74,13.91
Bang Saphan,20,TH,1545559200,70,11.21,99.51,86,3.36
Oistins,75,BB,1545559200,83,13.07,-59.53,75.2,20.8
College,20,US,1545558960,66,64.86,-147.8,-14.08,2.73
Dehui,0,CN,1545559200,47,44.53,125.71,12.2,11.18
Sitka,0,US,1545560486,85,37.17,-99.65,28.39,8.03
Ribeira Grande,20,PT,1545557400,76,38.52,-28.7,55.4,13.87
Prince Rupert,90,CA,1545559200,56,54.32,-130.32,44.6,5.82
Butaritari,92,KI,1545560492,100,3.07,172.79,83.43,8.88
Cabo San Lucas,12,MX,1545560494,100,22.89,-109.91,71.28,8.37
Moron,0,MN,1545560496,52,47.38,110.32,1.66,8.03
Paraiso,8,MX,1545560501,64,24.01,-104.61,31.27,2.77
Chokurdakh,56,RU,1545560503,62,70.62,147.9,-33.8,3.11
Tuktoyaktuk,80,CA,1545560505,95,69.44,-133.03,6.97,9.82
Westport,64,NZ,1545560507,93,-41.75,171.6,57.51,2.55
Vao,76,NC,1545560509,95,-22.67,167.48,80.01,9.93
Kedrovyy,40,RU,1545559200,83,56.17,91.82,-5.81,2.24
Barinas,20,VE,1545560514,75,8.64,-70.23,68.4,2.89
Cortez,1,US,1545558780,70,37.35,-108.58,19.04,5.82
Rocha,20,UY,1545560518,92,-34.48,-54.34,53.32,2.73
Van Buren,75,US,1545558960,61,47.16,-67.94,26.06,10.29
Arlit,0,NE,1545560522,75,18.74,7.39,60.52,4.79
Timbiras,92,BR,1545560524,98,-4.26,-43.94,71.73,2.55
Bulaevo,80,KZ,1545560526,80,54.91,70.44,1.84,12.95
Puerto Ayora,92,EC,1545560528,100,-0.74,-90.35,74.43,8.43
Lebu,0,CL,1545560531,100,-37.62,-73.65,55.03,19.84
Bima,88,ID,1545560533,76,-8.45,118.73,82.75,2.55
Port Hedland,0,AU,1545559200,52,-20.31,118.58,89.6,14.99
Coihaique,0,CL,1545559200,62,-45.58,-72.07,53.6,3.36
Kikwit,92,CD,1545560539,99,-5.04,18.82,72.36,9.6
Mayo,5,CA,1545559200,74,63.59,-135.9,-27.41,2.73
Yatou,0,CN,1545560544,48,33.81,104.32,31,1.5
Gorom-Gorom,0,BF,1545560546,37,14.45,-0.24,67.18,12.95
Baft,0,IR,1545560548,23,29.23,56.61,45.81,7.65
Coquimbo,20,CL,1545559200,87,-29.95,-71.34,55.4,1.39
Bull Savanna,56,JM,1545560554,89,17.89,-77.59,69.88,3.56
Inirida,48,CO,1545560556,98,3.87,-67.92,72.45,2.21
Hithadhoo,0,MV,1545560559,100,-0.6,73.08,82.12,5.64
Fairbanks,20,US,1545558960,66,64.84,-147.72,-14.08,2.73
Ilulissat,80,GL,1545558600,92,69.22,-51.1,23,12.75
Adrar,0,DZ,1545555600,57,27.87,-0.29,50,16.11
Lavrentiya,36,RU,1545560569,100,65.58,-170.99,4.81,17.38
Road Town,1,VG,1545558780,90,18.42,-64.62,73.94,5.82
Saint Augustine,1,US,1545558900,97,40.72,-90.41,30.02,5.57
Poum,56,NC,1545560576,95,-20.23,164.02,83.11,9.44
Glendive,1,US,1545560100,84,47.11,-104.71,15.98,6.93
Naze,75,JP,1545559200,82,28.37,129.48,68,18.34
Clyde River,1,CA,1545559200,68,70.47,-68.59,-18.41,5.82
Kijang,20,ID,1545559200,79,0.9,104.63,84.2,4.7
Nikolskoye,75,RU,1545559200,92,59.7,30.79,23,8.95
Victoria,40,SC,1545559200,78,-4.62,55.45,82.4,8.05
Ust-Tsilma,0,RU,1545560591,82,65.44,52.15,-4.73,6.24
Caravelas,0,BR,1545560593,100,-17.73,-39.27,79.69,21.23
Husavik,56,IS,1545560595,100,66.04,-17.34,26.91,5.79
Idanre,0,NG,1545560597,40,7.11,5.11,83.38,4.23
Onoda,20,JP,1545559200,81,34,131.18,51.8,3.36
Kaitangata,0,NZ,1545560601,72,-46.28,169.85,54.49,7.09
Honiara,92,SB,1545560603,100,-9.43,159.96,76.23,2.33
Vera Cruz,88,BR,1545560606,90,-22.22,-49.82,70.2,6.02
Daugavpils,92,LV,1545560610,94,55.88,26.53,26.91,12.57
Muncar,80,ID,1545560612,99,-8.43,114.34,78.7,4.63
Ranong,40,TH,1545559200,79,9.96,98.62,86,3.36
Wrzesnia,75,PL,1545559200,100,52.33,17.57,39.2,9.17
Bria,0,CF,1545560620,33,6.54,21.99,81.22,14.36
Simga,0,IN,1545559200,31,21.63,81.7,77,3.36
Polis,40,CY,1545559200,67,35.04,32.42,62.6,3.36
Sao Joao da Barra,0,BR,1545559200,83,-21.64,-41.05,78.8,4.7
Cherskiy,20,RU,1545560631,69,68.75,161.3,-35.87,2.51
Vardo,20,NO,1545558600,78,70.37,31.11,12.2,16.11
Talcahuano,20,CL,1545559200,100,-36.72,-73.12,50,4.7
Sungairaya,68,ID,1545560638,72,0.7,108.9,83.56,5.41
Hamilton,75,BM,1545558900,82,32.3,-64.78,66.2,5.82
Belmonte,100,BR,1545560642,100,-26.84,-53.58,67.41,3.51
Tara,0,RU,1545560644,56,56.9,74.37,-10.85,9.04
Cap Malheureux,75,MU,1545559200,58,-19.98,57.61,86,18.34
Andenes,90,NO,1545558600,100,69.31,16.12,33.8,4.7
Mahebourg,75,MU,1545559200,58,-20.41,57.7,86,18.34
Monteagudo,90,BO,1545559200,100,-19.8,-63.96,68,1.61
Carnarvon,24,AU,1545559200,65,-24.87,113.63,80.6,12.75
Muzhi,0,RU,1545560659,65,65.4,64.7,-21.88,14.85
Norman Wells,40,CA,1545555600,74,65.28,-126.83,-23.81,3.36
Ferme-Neuve,8,CA,1545560663,62,46.7,-75.45,11.65,5.64
Peleduy,44,RU,1545560665,58,59.63,112.75,-12.83,4.29
Jimma,12,ET,1545560667,54,7.67,36.84,72.4,1.88
Nenjiang,0,CN,1545560670,36,49.17,125.23,3.51,10.94
Fort Smith,1,US,1545560100,80,35.39,-94.42,44.06,9.17
Kodinsk,0,RU,1545560493,48,58.6,99.18,-29.53,5.01
Byron Bay,40,AU,1545559200,64,-28.65,153.62,71.6,12.75
Alofi,100,NU,1545555600,78,-19.06,-169.92,80.6,10.29
Namibe,0,AO,1545555600,69,-15.19,12.15,77,5.82
Pisco,20,PE,1545559200,93,-13.71,-76.2,66.2,10.29
Srednekolymsk,8,RU,1545560686,51,67.46,153.71,-30.38,2.33
Nkhotakota,92,MW,1545560689,100,-12.93,34.3,69.88,4.23
Ballina,0,IE,1545559200,100,54.11,-9.15,41,6.93
Fortuna,90,US,1545558900,100,40.6,-124.16,51.98,13.87
Karratha,0,AU,1545560696,14,-20.74,116.85,106.78,10.6
The Valley,20,AI,1545559200,78,18.22,-63.06,77,8.05
Matagami,90,CA,1545559200,92,49.76,-77.63,6.8,9.17
East London,40,ZA,1545559200,78,-33.02,27.91,77,26.4
Vestmannaeyjar,40,IS,1545559200,100,63.44,-20.27,35.6,4.7
Nichinan,20,JP,1545559200,72,31.65,131.31,59,6.93
Hobyo,88,SO,1545560713,77,5.35,48.53,80.28,19.17
Iguape,56,BR,1545560715,100,-24.7,-47.56,75.64,4.74
Sainte-Thecle,90,CA,1545559200,67,46.82,-72.5,21.2,5.82
Marawi,8,SD,1545560722,45,18.48,31.82,72.9,9.6
Victor Harbor,0,AU,1545559200,19,-35.55,138.62,75.2,5.82
Kaeo,92,NZ,1545560727,97,-35.1,173.78,65.16,9.66
Sur,88,OM,1545560729,100,22.57,59.53,71.41,10.89
Kavieng,64,PG,1545560734,100,-2.57,150.8,84.1,3.56
Mehamn,88,NO,1545560736,100,71.03,27.85,18.76,8.37
Atar,0,MR,1545560739,31,20.52,-13.05,62.55,16.08
Souillac,75,MU,1545559200,58,-20.52,57.52,86,18.34
Torbay,90,CA,1545559980,100,47.66,-52.73,44.6,19.46
Santa Cruz,0,CR,1545560746,71,10.26,-85.58,77.62,17.83
Dukat,44,RU,1545560749,48,62.55,155.55,-31.33,2.73
Guymon,90,US,1545559920,85,36.68,-101.48,30.92,4.7
Najran,0,SA,1545560753,31,17.54,44.22,69.61,5.57
Deputatskiy,20,RU,1545560755,0,69.3,139.9,-41.54,2.62
Sabha,20,LY,1545560757,63,27.03,14.43,53.01,5.86
Leningradskiy,20,RU,1545560760,100,69.38,178.42,-19.22,7.09
Katsuura,75,JP,1545559200,82,33.93,134.5,57.2,9.17
Kimbe,88,PG,1545560766,100,-5.56,150.15,81.63,2.28
Arada,32,HN,1545560768,94,14.85,-88.3,57.37,1.88
Port Lincoln,0,AU,1545560770,63,-34.72,135.86,72.76,3.56
Ushtobe,0,KZ,1545560773,78,45.25,77.98,19.26,2.77
Miranda,64,BR,1545560775,92,-20.24,-56.38,74.74,2.06
Oxford,80,CA,1545560778,94,45.73,-63.86,35.95,10.67
Yumen,0,CN,1545560780,87,40.29,97.04,12.28,4.79
Gagret,0,IN,1545560785,65,31.66,76.06,61.38,3.78
Sioux Lookout,90,CA,1545559620,85,50.1,-91.92,17.6,4.7
Bira,44,RU,1545560790,57,49,132.47,1.39,7.14
Muros,0,ES,1545559200,81,42.77,-9.06,51.8,9.17
Banda Aceh,44,ID,1545560795,68,5.56,95.32,84.91,4.29
Hede,0,CN,1545560798,70,33.77,120.25,44.5,9.04
Chupa,76,RU,1545560800,85,66.27,33.05,4.95,2.89
San Patricio,8,MX,1545560802,99,19.22,-104.7,57.28,5.23
Manta,75,EC,1545559200,83,-0.95,-80.73,77,6.8
Evensk,8,RU,1545560807,100,61.92,159.24,-0.32,12.95
Soe,92,ID,1545560810,97,-9.86,124.28,71.05,0.83
Geraldton,24,AU,1545559200,57,-28.77,114.6,80.6,14.99
Olga,0,RU,1545560815,38,43.74,135.29,14.58,8.25
